"carat","price","carat_sq"
0.52,2.783,0.2704
0.53,2.802,0.2809
0.57,2.974,0.3249
0.52,3.033,0.2704
0.51,3.446,0.2601
0.51,3.446,0.2601
0.53,3.517,0.2809
0.63,3.749,0.3969
0.53,3.812,0.2809
0.63,3.832,0.3969
0.73,3.88,0.5329
0.59,4.161,0.3481
0.65,4.184,0.4225
0.59,4.208,0.3481
0.56,4.216,0.3136
0.72,4.228,0.5184
0.56,4.293,0.3136
0.74,4.383,0.5476
0.76,4.596,0.5776
0.56,4.632,0.3136
0.59,4.916,0.3481
0.81,6.338,0.6561
0.63,6.549,0.3969
0.63,6.607,0.3969
0.8,6.674,0.64
1.03,10.615,1.0609
1.01,10.688,1.0201
1.04,10.787,1.0816
1.04,10.984,1.0816
1.06,10.995,1.1236
1.02,11.116,1.0404
1.06,11.195,1.1236
1.1,11.233,1.21
1.03,11.365,1.0609
1.07,11.434,1.1449
1.02,11.5,1.0404
1.02,11.605,1.0404
1.09,11.846,1.1881
1.09,11.888,1.1881
1.02,12.03,1.0404
1.06,12.539,1.1236
1.01,12.865,1.0201
1.05,13.06,1.1025
1.03,13.06,1.0609
1.06,13.344,1.1236
1.26,13.671,1.5876
1.2,14.3,1.44
1.2,14.43,1.44
1.04,14.494,1.0816
1.04,14.626,1.0816
1.18,14.847,1.3924
1.09,15.193,1.1881
1.27,15.377,1.6129
1.11,15.464,1.2321
1.21,15.497,1.4641
1.02,15.575,1.0404
1.06,15.813,1.1236
1.3,15.874,1.69
1,16.469,1
1.25,16.823,1.5625
1.07,17.042,1.1449
1.21,17.353,1.4641
1.03,17.59,1.0609
0.28,0.646,0.0784
1.33,18.435,1.7689
1.28,18.7,1.6384
0.26,0.657,0.0676
0.24,0.678,0.0576
0.24,0.678,0.0576
0.24,0.678,0.0576
0.24,0.678,0.0576
0.26,0.733,0.0676
0.25,0.739,0.0625
0.29,0.748,0.0841
0.27,0.76,0.0729
0.27,0.76,0.0729
0.27,0.76,0.0729
0.27,0.76,0.0729
0.31,0.766,0.0961
0.26,0.768,0.0676
0.28,0.787,0.0784
0.28,0.787,0.0784
0.28,0.787,0.0784
0.27,0.796,0.0729
0.29,0.815,0.0841
0.31,0.821,0.0961
0.28,0.825,0.0784
0.28,0.828,0.0784
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.3,0.873,0.09
0.31,0.874,0.0961
0.31,0.874,0.0961
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.3,0.886,0.09
0.31,0.888,0.0961
0.3,0.892,0.09
0.3,0.892,0.09
0.27,0.893,0.0729
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.901,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.31,0.914,0.0961
0.32,0.915,0.1024
0.31,0.921,0.0961
0.31,0.921,0.0961
0.31,0.921,0.0961
0.31,0.921,0.0961
0.32,0.929,0.1024
0.32,0.929,0.1024
0.32,0.929,0.1024
0.32,0.929,0.1024
0.32,0.929,0.1024
0.32,0.929,0.1024
0.34,0.941,0.1156
0.32,0.943,0.1024
0.32,0.943,0.1024
0.32,0.943,0.1024
0.32,0.943,0.1024
0.32,0.943,0.1024
0.32,0.943,0.1024
0.3,0.943,0.09
0.3,0.943,0.09
0.3,0.943,0.09
0.32,0.944,0.1024
0.3,0.947,0.09
0.3,0.947,0.09
0.32,0.949,0.1024
0.32,0.949,0.1024
0.33,0.957,0.1089
0.33,0.957,0.1089
0.3,0.957,0.09
0.3,0.957,0.09
0.3,0.957,0.09
0.3,0.957,0.09
0.32,0.958,0.1024
0.31,0.958,0.0961
0.33,0.971,0.1089
0.33,0.971,0.1089
0.33,0.978,0.1089
0.31,0.979,0.0961
0.31,0.979,0.0961
0.31,0.979,0.0961
0.31,0.979,0.0961
0.31,0.979,0.0961
0.32,0.984,0.1024
0.34,0.985,0.1156
0.31,0.987,0.0961
0.31,0.987,0.0961
0.31,0.987,0.0961
0.32,0.99,0.1024
0.34,0.999,0.1156
0.31,1.002,0.0961
0.32,1.004,0.1024
0.32,1.01,0.1024
0.3,1.013,0.09
0.3,1.013,0.09
0.3,1.013,0.09
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.32,1.018,0.1024
0.33,1.028,0.1089
0.35,1.035,0.1225
0.33,1.042,0.1089
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.046,0.0961
0.31,1.051,0.0961
0.36,1.056,0.1296
0.31,1.06,0.0961
0.31,1.061,0.0961
0.31,1.061,0.0961
0.36,1.063,0.1296
0.36,1.063,0.1296
0.35,1.073,0.1225
0.34,1.074,0.1156
0.33,1.079,0.1089
0.32,1.08,0.1024
0.37,1.092,0.1369
0.32,1.095,0.1024
0.32,1.095,0.1024
0.33,1.114,0.1089
0.3,1.12,0.09
0.31,1.122,0.0961
0.31,1.122,0.0961
0.33,1.129,0.1089
0.3,1.131,0.09
0.31,1.133,0.0961
0.36,1.137,0.1296
0.36,1.138,0.1296
0.34,1.148,0.1156
0.41,1.151,0.1681
0.31,1.155,0.0961
0.34,1.163,0.1156
0.34,1.163,0.1156
0.34,1.163,0.1156
0.31,1.168,0.0961
0.31,1.168,0.0961
0.31,1.168,0.0961
0.31,1.168,0.0961
0.32,1.17,0.1024
0.32,1.17,0.1024
0.31,1.188,0.0961
0.38,1.193,0.1444
0.35,1.197,0.1225
0.35,1.197,0.1225
0.32,1.204,0.1024
0.32,1.204,0.1024
0.33,1.207,0.1089
0.36,1.21,0.1296
0.38,1.212,0.1444
0.38,1.212,0.1444
0.38,1.212,0.1444
0.31,1.214,0.0961
0.31,1.214,0.0961
0.31,1.214,0.0961
0.31,1.214,0.0961
0.36,1.215,0.1296
0.38,1.218,0.1444
0.38,1.229,0.1444
0.31,1.239,0.0961
0.33,1.24,0.1089
0.33,1.24,0.1089
0.33,1.24,0.1089
0.33,1.24,0.1089
0.34,1.243,0.1156
0.34,1.243,0.1156
0.34,1.243,0.1156
0.39,1.248,0.1521
0.31,1.251,0.0961
0.35,1.254,0.1225
0.35,1.254,0.1225
0.4,1.261,0.16
0.34,1.276,0.1156
0.34,1.276,0.1156
0.34,1.276,0.1156
0.34,1.276,0.1156
0.33,1.289,0.1089
0.4,1.292,0.16
0.32,1.3,0.1024
0.38,1.3,0.1444
0.41,1.304,0.1681
0.31,1.31,0.0961
0.35,1.312,0.1225
0.31,1.319,0.0961
0.38,1.333,0.1444
0.39,1.333,0.1521
0.39,1.333,0.1521
0.32,1.359,0.1024
0.39,1.368,0.1521
0.39,1.377,0.1521
0.33,1.389,0.1089
0.38,1.397,0.1444
0.38,1.402,0.1444
0.38,1.402,0.1444
0.4,1.406,0.16
0.39,1.418,0.1521
0.41,1.419,0.1681
0.38,1.433,0.1444
0.38,1.433,0.1444
0.38,1.433,0.1444
0.39,1.433,0.1521
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.41,1.439,0.1681
0.43,1.58,0.1849
0.43,1.58,0.1849
0.43,1.58,0.1849
0.4,1.583,0.16
0.41,1.621,0.1681
0.31,1.818,0.0961
0.31,1.917,0.0961
0.46,1.95,0.2116
0.48,2.059,0.2304
0.48,2.154,0.2304
0.34,2.287,0.1156
0.34,2.287,0.1156
0.34,2.346,0.1156
0.34,2.346,0.1156
0.52,2.393,0.2704
0.5,2.419,0.25
0.52,2.427,0.2704
0.53,2.447,0.2809
0.52,2.504,0.2704
0.51,2.524,0.2601
0.5,2.529,0.25
0.52,2.575,0.2704
0.52,2.598,0.2704
0.5,2.645,0.25
0.57,2.656,0.3249
0.53,2.658,0.2809
0.53,2.682,0.2809
0.54,2.729,0.2916
0.51,2.73,0.2601
0.52,2.733,0.2704
0.52,2.749,0.2704
